Severity	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	m27	m28	m29	m30	m31	m32	m33	m34	m35	m36	m37	m38	m39	m40	m41	m42	m43	m44	m45	m46	m47	m48	m49	m50	pred_logreg$response
C1	0	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
C20	0	2.083617212	2.097785603	2.104842601	2.111766167	2.090731409	2.088906908	1.03478391	1	1	2.115764367	1.954331901	1.95009941	1.949047136	1.066666667	1.598340115	1.222222222	1.949046447	1.033608112	2.07956422	1	1	2.07956422	1.424498611	1.424498611	1	1.424498611	2.07956422	2.024437618	1.855152417	1.954792012	1.983672454	1	1.901090809	1.880206782	1.86496073	1.934063949	1.89479897	1.94037866	1	1.945538765	1.929106712	1	1	1	1	1	1.885260655	1.935798071	1.906728488	1.861855056	0.0567033306541814
C21	0	2.083617212	2.097785603	2.104842601	2.111766167	2.090731409	2.088906908	1.03478391	1	1	2.115764367	1.954331901	1.95009941	1.949047136	1.066666667	1.598340115	1.222222222	1.949046447	1.033608112	2.07956422	1	1	2.07956422	1.424498611	1.424498611	1	1.424498611	2.07956422	2.024437618	1.855152417	1.954792012	1.983672454	1	1.901090809	1.880206782	1.86496073	1.934063949	1.89479897	1.94037866	1	1.945538765	1.929106712	1	1	1	1	1	1.885260655	1.935798071	1.906728488	1.861855056	0.0567033306541814
C22	0	1.686836735	1.686254844	1.686039055	1.685753779	1.686541703	1.723460162	2.0350714	2	2.019910283	2.151590224	1.621429899	1.616929419	1.615284354	1.888888889	0.828157648	1.666666667	1.616053186	1.946161296	2.125000117	1.857142857	2.035075828	2.125000117	0.467031397	0.467031397	2.2	0.467031397	2.125000117	2.027932313	1.844594829	1.9030727	1.92809025	2	1.894127808	1.865388132	1.867088171	1.934579257	1.886899306	1.921276506	2.035080256	1.958319473	1.90303618	2	2.066666667	2	2.02705676	2	1.884655698	1.918117761	1.907245393	1.851222829	0.202404125069191
C23	0	2.083617212	2.097785603	2.104842601	2.111766167	2.090731409	2.088906908	1.03478391	1	1	2.115764367	1.954331901	1.95009941	1.949047136	1.066666667	1.598340115	1.222222222	1.949046447	1.033608112	2.07956422	1	1	2.07956422	1.424498611	1.424498611	1	1.424498611	2.07956422	2.024437618	1.855152417	1.954792012	1.983672454	1	1.901090809	1.880206782	1.86496073	1.934063949	1.89479897	1.94037866	1	1.945538765	1.929106712	1	1	1	1	1	1.885260655	1.935798071	1.906728488	1.861855056	0.0567033306541814
C24	0	2.821357385	2.833855753	2.840000645	2.846037248	2.82764971	2.773443444	2.125326102	2.107142857	2.076478194	2.237308556	2.760609749	2.760901791	2.760740138	2.111111111	2.474306153	2.111111111	2.760397632	2.090005057	2.237889357	2.142857143	2.12532628	2.237889357	2.321649495	2.321649495	2.2	2.321649495	2.237889357	2.539314221	2.474815427	2.496632139	2.49892519	2	2.451587002	2.501639654	2.521487205	2.519213769	2.506941919	2.506405403	2.121530929	2.58233561	2.498415815	2	2.066666667	2	2.02705676	2	2.518305658	2.516970408	2.521844018	2.460531927	0.408159531430085
C25	0	3.218137862	3.245386512	3.258804191	3.272049635	3.231839417	3.13889019	2.578494436	2.285714286	2.205940139	2.415727033	3.093511752	3.094071782	3.094502919	2.388888889	2.622290118	2.444444444	3.093390893	2.295752706	2.4464662	2.428571429	2.226522148	2.4464662	2.479002486	2.479002486	2.4	2.479002486	2.4464662	2.632691814	2.635774635	2.641176084	2.638825016	2	2.609491846	2.629275294	2.66627263	2.678161937	2.695373337	2.683419652	2.198070556	2.733226374	2.654654832	2	2.2	2	2.114821592	2	2.591724269	2.62089869	2.601266467	2.551705139	0.489065214807989
C26	0	2.083617212	2.097785603	2.104842601	2.111766167	2.090731409	2.088906908	1.03478391	1	1	2.115764367	1.954331901	1.95009941	1.949047136	1.066666667	1.598340115	1.222222222	1.949046447	1.033608112	2.07956422	1	1	2.07956422	1.424498611	1.424498611	1	1.424498611	2.07956422	2.024437618	1.855152417	1.954792012	1.983672454	1	1.901090809	1.880206782	1.86496073	1.934063949	1.89479897	1.94037866	1	1.945538765	1.929106712	1	1	1	1	1	1.885260655	1.935798071	1.906728488	1.861855056	0.0567033306541814
C27	0	4.146812934	4.182269238	4.19966994	4.216961962	4.164633106	4.034840627	3.63768196	3.517857143	3.577822323	2.906723174	4.093105187	4.093631131	4.095238857	3.433333333	4.174511513	3.222222222	4.092779696	3.514051774	3.011093171	3.428571429	3.637684278	3.011093171	4.363309148	4.363309148	3.6	4.363309148	3.011093171	3.206975829	3.244643948	3.277744163	3.222570368	3.416666667	3.206787483	3.218195647	3.241469967	3.253328415	3.27477786	3.243857778	3.565005273	3.215402185	3.211126895	3.455025277	3.5	3.333333333	3.572852067	3.274273531	3.182693057	3.224475865	3.170764589	3.191288428	0.953072593241985
C6	0	3.218137862	3.245386512	3.258804191	3.272049635	3.231839417	3.13889019	2.578494436	2.285714286	2.205940139	2.415727033	3.093511752	3.094071782	3.094502919	2.388888889	2.622290118	2.444444444	3.093390893	2.295752706	2.4464662	2.428571429	2.226522148	2.4464662	2.479002486	2.479002486	2.4	2.479002486	2.4464662	2.632691814	2.635774635	2.641176084	2.638825016	2	2.609491846	2.629275294	2.66627263	2.678161937	2.695373337	2.683419652	2.198070556	2.733226374	2.654654832	2	2.2	2	2.114821592	2	2.591724269	2.62089869	2.601266467	2.551705139	0.489065214807989
